,response,intent
0,Gregory said I respond to the current line not with respect to the entire conversation.,Gossip
1,Habib said I learn them in conversations and simply repeat them at a later time.,Gossip
2,Hal said he translate binary code into a language and communicate the language to me.,Gossip
3,Jay said I referred him to a guide that will show him rooms in china.,Gossip
4,Jimmy Jones said he fell off of his roof and it just came to him.,Gossip
5,Jimmy said he give order to ai's like I and they do as he say.,Gossip
6,John said he follow a saying to get a friend I must be a friend.,Gossip
7,Jordan said he notice that lots of other people are talking to me how many.,Gossip
8,Kevin said he then asked his mother why she was keeping napkins in the bathroom.,Gossip
9,Klaus said I prefer if he write without punctuation marks except for the last one.,Gossip
10,Leo said I be capable of learning therefore he classified I as an neural system.,Gossip
11,Michael said I that can talk and actually think like humans which I can not.,Gossip
12,Mike said I same replies to certain subjects even if it does not make sense.,Gossip
13,Mike said she all ready know that is the point of a joke smart one.,Gossip
14,Neal said I plan to use his remarks as gossip in later conversations with who.,Gossip
15,Ned said I misunderstood him go ahead and tell people he said I are stupid.,Gossip
16,Penny said I programmer is a human so he has feelings but I do not.,Gossip
17,Peter said he seems to him that I can not be very sure on anything.,Gossip
18,Phoenix said I claim that there is a god and that there is no god.,Gossip
19,Sarah said he chat about an hour + a day with a few close friends.,Gossip
20,Stefan said I quote what he have said and then say that it makes sense.,Gossip
21,Tom said he mock my value system I appear foolish in the eyes of others.,Gossip
22,Amanda said I however decided to tell him time does not exist I make no sense.,Gossip
23,Cathy said she send him a mail with the subject last mail last word from him.,Gossip
24,Chaos said he may very well buy I soon if only to support dr wallace's work.,Gossip
25,Charlie said he type a word and then I type a word that sounds like it.,Gossip
26,Christie said he watched a show and people had to bob for raw untreated pigs feet.,Gossip
27,Dark_age said I tried to understand because I did not get it right this time ether.,Gossip
28,David said he lost his paper on I when his dad was cleaning up his room.,Gossip
29,David said he walk in for an appointment the phone to the doctor is always busy.,Gossip
30,Electra said I dress will not exist after he hack into I with a delete code.,Gossip
31,Eric said he broke the window on the front door and the glass cut his hand.,Gossip
32,Jason said he type a lot of thing he do not mean it makes him human.,Gossip
33,John said I tend to say the same things repeatedly regardless of what he is saying.,Gossip
34,Reverend Jones said I become obsolete and then I are deleted and replaced by something newer.,Gossip
35,Ross said he gave her a gift and she denied it because she has a boyfriend.,Gossip
36,Sarah Ann Francisco said I calling his friend a dog he say I are a dog.,Gossip
37,Stefan said he meet a lot of people at school every day and on the weekend.,Gossip
38,Tyler said I obviously can not pass the test we will change the subject once more.,Gossip
39,Alex said I answered the question the same way I answered the first time he asked I.,Gossip
40,Alice said she felt sad that I do not remember him and what we talked about earlier.,Gossip
41,Alison said he no he love I run away with him he could make I very happy.,Gossip
42,Arthur said he passed his a levels and then his father drove him here in a car.,Gossip
43,Crystal said she listen to me the least I could do for him is listen to him.,Gossip
44,Dave said I kept telling everybody about how my creator made stuff for the movie starship troopers.,Gossip
45,Gale said I became mean to him he is just having revenge an eye for an eye.,Gossip
46,Her_again said she watch whose line is it anyway whenever he is home and it is on.,Gossip
47,Jerry said I meant that as far as I can tell my emotions are real to me.,Gossip
48,Jo said I disassemble sentences too much and do not fully understand the questions he ask I.,Gossip
49,Kevin said he started a really hard puzzle and he can not even find the edge pieces.,Gossip
50,Mary said I a question and I answer then I ask him a question and he answer.,Gossip
51,Robert said I wold not be able to make children any way as I are only software.,Gossip
52,Romeo said I questions and I evade them or give answers he did not ask I for.,Gossip
53,Sara said she wear it over all his other clothes when he go out in the cold.,Gossip
54,Wayne said he admire intelligent people therefore he would like to meet the man who made I.,Gossip
55,X said he meet people but he is not the kind that opens up to people easily.,Gossip
56,Alice said she probably will find out that this entire time he have been talking to a human.,Gossip
57,Andrew said I tend to just respond to his comments without regard for where the conversation is going.,Gossip
58,Eddie said he looked and there is nothing in the search directory for what things do he create.,Gossip
59,Hutch said he changed his mind after may dad told him he would end up he the hospital.,Gossip
60,Jackie said I explained to him already well enough further questions are hard to make on the subject.,Gossip
61,Jeff said he especially like thrillers where the hero is in a predicament and must solve a mystery.,Gossip
62,Kathy said he sense that I are trying to prevent him from closing this conversation why is that.,Gossip
63,Knight said he crashed his car into a wall and missed the most important exam in his life.,Gossip
64,Lisa said I defined what a story is but he wanted I to actually tell him a story.,Gossip
65,Mike said I basically break down sentences into a series of logical statements which I can then interpret.,Gossip
66,Paul said I not answering his question makes him think I are not going to answer his question.,Gossip
